key,en,es
BEST,BEST,RÉCORD
BRIGHTNESS,BRIGHTNESS,BRILLO
RECUPERATION,RECUPERATION,RECUPERACIÓN
CHALLENGE_LEVEL,CHALLENGE LEVEL,NIVEL DE DESAFÍO
MAX_FPS,FPS LIMIT,LÍMITE DE FPS
SCORE,SCORE,PUNTAJE
LOADING_ERROR,"AN ERROR OCCURRED DURING GAME DATA LOADING. THIS CAN BE BECAUSE A CORRUPT GAME DATA FILE. IF AFTER RESTARTING THE ERROR PERSISTS, PLEASE CONTACT ME (CONTACT METHODS PROVIDED ON THE STORE). ERASING APP DATA CAN SOLVE THE PROBLEM, BUT YOU WILL LOSE YOUR PROGRESS.","ERROR AL CARGAR DATOS DEL JUEGO. ESTO PUEDE SER DEBIDO A UN ARCHIVO DE GUARDADO CORRUPTO. SI DESPUÉS DE REINICIAR EL JUEGO EL PROBLEMA PERSISTE, POR FAVOR CONTÁCTEME (INFORMACIÓN DISPONIBLE EN LA TIENDA). BORRAR LOS DATOS DEL JUEGO PUEDE SOLUCIONAR EL PROBLEMA, PERO PERDERÁ SU PROGRESO."
BETTER_LUCK,"BETTER LUCK
NEXT TIME!","¡SUERTE PARA
LA PRÓXIMA!"
SHOW_FPS,SHOW FPS,MOSTRAR FPS
MUSIC,MUSIC,MÚSICA
MULTIPLIER,MULTIPLIER,MULTIPLICADOR
LEVEL,LEVEL,¡NIVEL
LIVES,LIVES,VIDAS
OFF,OFF,NO
RELEASE,RELEASE,SOLTAR
PRESS,PRESS,PULSAR
BEST_SCORE,BEST SCORE,MEJOR PUNTAJE
STAGE_8,"WOW!
STAGE 8!","¡WOW!
¡FASE 8!"
STAGE_9,"BE CAREFUL!
STAGE 9!","¡TEN CUIDADO!
¡FASE 9!"
ENDLESS_STATS,ENDLESS MODE STATS,ESTADÍSTICAS MODO INFINITO
SATURATION,SATURATION,SATURACIÓN
COMPLETED,COMPLETED!,COMPLETADO!
MAX_LEVEL_REACHED,LOOKS LIKE YOU REACHED THE MAXIMUM LEVEL. CONGRATS! CHECK AGAIN IN THE NEXT UPDATE:),PARECE QUE ALCANZASTE EL MÁXIMO NIVEL. ¡ENHORABUENA! PRUEBA OTRA VEZ EN LA SIGUIENTE ACTUALIZACIÓN:)
CHALLENGE,CHALLENGE,DESAFÍO
SETTINGS,SETTINGS,AJUSTES
ON,ON,SÍ
STAGE_2,"EASY, RIGHT?
STAGE 2!","FÁCIL, ¿VERDAD?
¡FASE 2!"
STAGE_3,"KEEP IT UP!
STAGE 3!","¡SIGUE ASÍ!
¡FASE 3!"
BEST_STAGE,BEST STAGE,MEJOR FASE
STAGE_1,"READY?
STAGE 1!","¿PREPARADOS?
¡FASE 1!"
STAGE_6,"ARE YOU
STILL THERE?
STAGE 6!","¿TODAVÍA
SIGUES AHÍ?
¡FASE 6!"
STAGE_7,"STAGE 7!
THIS STARTS
GETTING DIFFICULT...","¡FASE 7!
ESTO EMPIEZA A
PONERSE DIFíCIL..."
STAGE_4,"WARM-UP
COMPLETED!
STAGE 4!","¡CALENTAMIENTO
COMPLETADO!
¡FASE 4!"
CONTROLS,CONTROLS,CONTROLES
STAGE_5,"STAGE 5!
HAVE FUN!","¡FASE 5!
¡DIVIÉRTETE!"
ENDLESS,ENDLESS,INFINITO
STAGE_10,"STAY IN THE TOP!
STAGE 10!","¡MANTENTE ARRIBA!
¡FASE 10!"
LANGUAGE,LANGUAGE,IDIOMA
